CURVE,X,Y
293,0,0.1
1194,0,0.13
451,0,0.13
405,0,0.15
1357,0,0.17
970,0,0.18
411,0,0.15
205,0,0.18
1766,0,0.19
555,0,0.19
550,0,0.19
200,0,0.18
63,0,0.2
38,0,0.15
16,0,0.1
652,0,0.21
626,0,0.23
1123,0,0.25
1017,0,0.23
486,0,0.23
1355,0,0.26
1421,0,0.3
651,0,0.28
302,0,0.3
3462,0,0.32
1575,0,0.32
1356,0,0.34
1347,0,0.39
1213,0,0.39
650,0,0.51
406,0,0.6
280,0,0.39
147,0,0.3
40,0,0.25
824,0,0.61
412,0,0.6
3461,0,0.68
1574,0,0.68
1343,0,0.61
281,0,0.61
131,0,0.7
39,0,0.6
17,0,0.2
11,0,0.2
1021,0,0.77
491,0,0.77
487,0,0.77
109,0,0.7
1040,0,0.8
941,0,0.81
2303,0,0.81
2013,0,0.82
551,0,0.81
241,0,0.8
911,0,0.82
1926,0,0.85
717,0,0.85
712,0,0.85
464,0,0.87
1190,0,0.87
456,0,1
462,0,1
462,5,1
462,6,0
452,0,0.87
201,0,0.82
64,0,0.8
10,0,0.7
9,0,0.1
384,50,0
384,51,1
384,52,0
1640,43,0
1640,44,1
1640,45,0
164,43,0
164,44,1
164,45,0
391,60,0
391,61,1
391,62,0
1151,55,0
1151,56,1
1151,57,0
258,55,0
258,56,1
258,57,0
1158,65,0
1158,66,1
1158,67,0
265,65,0
265,66,1
265,67,0
1654,63,0
1654,64,1
1654,65,0
91,63,0
91,64,1
91,65,0
1647,53,0
1647,54,1
1647,55,0
84,53,0
84,54,1
84,55,0
74,39,0
1427,39,0
1427,40,0.3
1427,41,0
1048,39,0
1048,40,0.2
1048,41,0
311,39,0
311,40,0.3
311,41,0
250,39,0
250,40,0.2
250,41,0
1633,39,0
1633,40,0.7
1633,41,0
157,39,0
157,40,0.3
157,41,0
689,39,0
689,40,0.7
689,41,0
156,39,0
156,40,0.7
156,41,0
1144,39,0
1144,40,1
1144,41,0
1049,39,0
1049,40,0.8
1049,41,0
251,39,0
251,40,0.8
251,41,0
2355,39,0
2355,40,2.2
2355,41,0
2354,39,0
2354,40,4.4
2354,41,0
1232,39,0
1232,40,2.2
1232,41,0
309,39,0
309,40,2.2
309,41,0
1231,39,0
1231,40,4.4
1231,41,0
1142,39,0
1142,40,6.1
1142,41,0
308,39,0
308,40,4.4
308,41,0
2124,39,0
2124,40,6.6
2124,41,0
1901,39,0
1901,40,6.1
1901,41,0
525,39,0
525,40,6.6
525,41,0
375,39,0
375,40,16.9
375,41,0
310,39,0
310,40,6.6
310,41,0
247,39,0
247,40,6.1
247,41,0
77,39,0
77,40,1
77,41,0
76,39,0
76,40,0.8
76,41,0
75,39,0
75,40,0.2
75,41,0
1992,39,0
1992,40,19.2
1992,41,0
1143,39,0
1143,40,24.5
1143,41,0
1632,39,0
1632,40,26.4
1632,41,0
1046,39,0
1046,40,24.5
1046,41,0
787,39,0
787,40,26.4
787,41,0
248,39,0
248,40,24.5
248,41,0
2567,39,0
2567,40,30.6
2567,41,0
1426,39,0
1426,40,52.7
1426,41,0
1047,39,0
1047,40,30.6
1047,41,0
687,39,0
687,40,52.7
687,41,0
249,39,0
249,40,30.6
249,41,0
154,39,0
154,40,26.4
154,41,0
2651,39,0
2651,40,76.9
2651,41,0
748,39,0
748,40,67.5
748,41,0
376,39,0
376,40,67.5
376,41,0
153,39,0
153,40,52.7
153,41,0
2410,39,0
2410,40,84.4
2410,41,0
688,39,0
688,40,79.1
688,41,0
749,39,0
749,40,84.4
749,41,0
377,39,0
377,40,84.4
377,41,0
155,39,0
155,40,79.1
155,41,0
73,39,0
73,40,96.1
73,41,0
72,39,0
72,40,76.9
72,41,0
71,39,0
71,40,19.2
71,41,0
61,9,0
